qnum,muni,codeibge,codesetor,group,incumbent_wins,acc_status,age,politics_interest,turnout_2012,vote_2012,same_race_mayor,turnout_2014,vote_2014,partisan,pid,muni_biggest_prob,politician_helped,mayor_pid,govt_eval_baseline,acc_eval_baseline,uncertain_acc_baseline,edu_eval_baseline,uncertain_edu_baseline,tce_knowledge,ana_knowledge,child_school,confid_fedgov,confid_justice,confid_tce,confid_muni,acc_responsible,edu_responsible,prob_vote_buying,prob_vote_monitoring,prob_vote_count,acc_rejected_prior,tce_prior_cert,ana_prior,edu_prior_uncert,years_edu,race,religion,income,relative_wellbeing,muni_biggest_prob_noimpute,govt_eval_baseline_noimpute,confid_fedgov_noimpute,confid_justice_noimpute,confid_tce_noimpute,confid_muni_noimpute,ana,accounts,acc_rejected,control,female,edu_rank1,acc_rank1,info_corrupt_welfare1,source_cred1_survey,free_fair,flier,turnout,vote_choice,campaign_issue,pol_effort,vote_vig,rejected_should_rerun,vote_vig_cont,pol_honesty_noimpute,vig_treatment,valid_vote,vote,vote_vig_strict,attrited
888,Custódia,2605103,260510305000012,(3) Educação,0,REJEIÇÃO,46,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Desemprego/combate ao desemprego,0,5,3,Regular,7,Regular,7,1,1,0,1,1,2,3,7,7,1,1,1,0,Inseguro(a),4,Muito seguro(a),4,Parda,Católica,4,3,Desemprego/combate ao desemprego,3,1,1,2,3,1,0,1,0,1,0,0,1,0,2,Educação,0,Branco/Nulo,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,0,0,1,0
889,Custódia,2605103,260510305000012,(2) Gestão Financeira,0,REJEIÇÃO,72,Interessado(a),1,0,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,1,1,4,Ruim,7,Ruim,7,0,0,0,1,6,7,1,7,7,1,1,1,1,Muito seguro(a),4,Inseguro(a),1,Branca,Católica,4,3,Saúde/hospitais/postos de saúde,4,1,6,NA,1,0,1,1,0,1,0,0,1,0,2,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,1,0,Não deveriam ter o direito de disputar a reeleição,4,Mais ou menos surpreso(a),1,1,0,0,0
890,Custódia,2605103,260510305000012,(1) Controle,0,REJEIÇÃO,18,Nada interessado(a),0,1,0,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,4,4,Ruim,7,Ruim,7,1,0,0,1,4,4,1,7,7,1,1,1,1,Inseguro(a),4,Seguro(a),12,Branca,Católica,4,3,Saúde/hospitais/postos de saúde,4,1,4,4,1,0,0,1,1,1,0,0,1,0,2,Educação,1,3,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
891,Custódia,2605103,260510305000012,(3) Educação,0,REJEIÇÃO,80,Interessado(a),1,0,0,Sim,Dilma Rousseff,1,Partido Amarelo,Desemprego/combate ao desemprego,0,4,4,Ruim,7,Ruim,7,0,1,0,4,7,7,2,7,7,1,1,1,1,Seguro(a),170,Seguro(a),0,Parda,Católica,4,3,Desemprego/combate ao desemprego,4,4,7,NA,2,1,0,1,0,1,0,1,0,0,2,Educação,1,3,Saúde/hospitais/postos de saúde,1,0,Não deveriam ter o direito de disputar a reeleição,4,Mais ou menos surpreso(a),1,1,0,0,0
892,Custódia,2605103,260510305000012,(1) Controle,0,REJEIÇÃO,20,Interessado(a),0,1,0,Sim,Dilma Rousseff,0,NA,Falta de água,0,3,3,Regular,7,Regular,7,0,1,0,1,5,7,1,7,7,1,1,1,1,Muito seguro(a),50,Seguro(a),10,Parda,Católica,6,3,Falta de água,3,1,5,NA,1,0,0,1,1,0,0,0,1,0,2,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,4,1,Não deveriam ter o direito de disputar a reeleição,1,Muito surpreso(a),0,1,1,1,0
893,Custódia,2605103,260510305000012,(3) Educação,0,REJEIÇÃO,45,Interessado(a),1,1,1,Não,Dilma Rousseff,1,Partido Amarelo,Desemprego/combate ao desemprego,0,1,5,Péssimo,7,Péssimo,7,1,0,0,5,1,3,1,7,7,4,1,1,1,Muito seguro(a),89,Muito seguro(a),4,Parda,Evangélica Pentecostal,3,3,Desemprego/combate ao desemprego,5,5,1,3,1,1,0,1,0,0,0,0,1,0,2,Educação,1,3,Desemprego/combate ao desemprego,1,1,Não deveriam ter o direito de disputar a reeleição,2,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
894,Custódia,2605103,260510305000012,(1) Controle,0,REJEIÇÃO,33,Interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Desemprego/combate ao desemprego,0,6,4,Ruim,7,Ruim,7,0,0,0,1,5,7,1,7,7,1,1,1,1,Seguro(a),100,Inseguro(a),3,Parda,Católica,4,3,Desemprego/combate ao desemprego,4,NA,5,NA,1,0,0,1,1,0,0,1,0,0,2,Gestão Financ.,1,3,Falta de água,1,0,Não deveriam ter o direito de disputar a reeleição,4,Mais ou menos surpreso(a),1,1,0,0,0
895,Custódia,2605103,260510305000012,(1) Controle,0,REJEIÇÃO,19,Interessado(a),0,1,1,Sim,Dilma Rousseff,0,NA,Educação/escolas/creches,0,5,5,Péssimo,7,Ruim,7,0,0,0,3,4,7,2,7,7,1,1,1,1,Seguro(a),177,Seguro(a),12,Parda,Católica,4,3,Educação/escolas/creches,5,3,4,7,2,0,0,1,1,0,1,0,0,0,2,Educação,1,3,Desemprego/combate ao desemprego,1,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
896,Custódia,2605103,260510305000012,(2) Gestão Financeira,0,REJEIÇÃO,49,Interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Desemprego/combate ao desemprego,0,4,4,Ruim,7,Ruim,7,1,1,1,1,3,6,2,7,7,3,1,1,1,Muito seguro(a),180,Muito seguro(a),0,Parda,Católica,3,3,Desemprego/combate ao desemprego,4,1,3,6,2,0,1,1,0,0,0,0,1,0,2,Gestão Financ.,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
897,Custódia,2605103,260510305000013,(2) Gestão Financeira,0,REJEIÇÃO,25,Interessado(a),1,0,1,Sim,Dilma Rousseff,0,NA,Desemprego/combate ao desemprego,0,7,3,Bom,7,Ótimo,6,1,0,1,1,7,7,7,7,7,1,1,1,0,Inseguro(a),5,Seguro(a),12,Branca,Católica,9,3,Desemprego/combate ao desemprego,3,NA,7,7,7,0,1,1,0,1,1,0,0,0,2,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,4,0,Não deveriam ter o direito de disputar a reeleição,3,Muito surpreso(a),1,1,1,0,0
898,Custódia,2605103,260510305000013,(1) Controle,0,REJEIÇÃO,32,Interessado(a),1,0,0,Sim,Dilma Rousseff,1,Partido Amarelo,Falta de água,0,5,5,Péssimo,7,Regular,7,1,0,0,1,5,4,1,7,7,1,1,1,1,Seguro(a),109,Seguro(a),11,Branca,Católica,8,3,Falta de água,5,1,5,4,1,0,0,1,1,1,0,1,0,0,2,Gestão Financ.,1,3,Educação/escolas/creches,1,1,Não deveriam ter o direito de disputar a reeleição,1,Mais ou menos surpreso(a),0,1,0,1,0
899,Custódia,2605103,260510305000013,(3) Educação,0,REJEIÇÃO,34,Interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,5,Péssimo,7,Péssimo,7,0,0,0,1,7,4,1,7,7,1,1,1,1,Muito seguro(a),177,Muito seguro(a),8,Branca,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)",6,3,Saúde/hospitais/postos de saúde,5,1,7,NA,1,1,0,1,0,1,1,0,0,1,2,Educação,1,3,Desemprego/combate ao desemprego,1,0,Não deveriam ter o direito de disputar a reeleição,4,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
900,Custódia,2605103,260510305000013,(1) Controle,0,REJEIÇÃO,59,Muito interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Falta de água,0,7,2,Ótimo,7,Bom,7,1,0,1,1,7,7,7,7,7,1,1,1,0,Muito seguro(a),120,Seguro(a),11,Branca,Católica,10,3,Falta de água,2,1,7,7,7,0,0,1,1,0,0,0,0,0,2,Educação,1,3,Saúde/hospitais/postos de saúde,1,0,Não deveriam ter o direito de disputar a reeleição,4,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
901,Custódia,2605103,260510305000013,(2) Gestão Financeira,0,REJEIÇÃO,60,Interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Falta de água,0,4,5,Péssimo,7,Ruim,7,1,0,0,1,4,6,1,7,7,1,1,1,1,Muito seguro(a),160,Seguro(a),6,Branca,Católica,7,3,Falta de água,5,1,4,6,1,0,1,1,0,0,0,1,0,0,2,Gestão Financ.,1,3,Segurança/violência/criminalidade,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
902,Custódia,2605103,260510305000013,(1) Controle,0,REJEIÇÃO,21,Muito interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Desemprego/combate ao desemprego,0,1,4,Ruim,7,Ruim,7,1,1,0,4,2,5,1,7,7,1,1,1,1,Seguro(a),140,Seguro(a),6,Parda,Católica,6,3,Desemprego/combate ao desemprego,4,4,2,5,1,0,0,1,1,0,0,1,0,0,2,Educação,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1
903,Custódia,2605103,260510305000013,(2) Gestão Financeira,0,REJEIÇÃO,28,Interessado(a),1,1,0,Sim,Aécio Neves,0,NA,Falta de água,0,1,5,Péssimo,7,Ruim,7,1,0,1,2,7,4,1,7,7,1,1,1,1,Inseguro(a),185,Seguro(a),6,Parda,Católica,7,3,Falta de água,5,2,7,4,1,0,1,1,0,0,0,0,0,0,2,Gestão Financ.,1,3,Desemprego/combate ao desemprego,2,0,Não deveriam ter o direito de disputar a reeleição,4,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
904,Custódia,2605103,260510305000013,(3) Educação,0,REJEIÇÃO,27,Interessado(a),1,1,0,Sim,Dilma Rousseff,1,PMDB,Falta de água,0,5,5,Regular,7,Regular,7,0,1,0,1,7,4,4,7,7,1,1,1,1,Seguro(a),185,Seguro(a),12,Parda,Protestante Tradicional ou Evangélica não Pentecostal,7,3,Falta de água,5,1,7,NA,4,1,0,1,0,1,0,0,1,0,2,Educação,1,3,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
905,Custódia,2605103,260510305000013,(1) Controle,0,REJEIÇÃO,42,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Desemprego/combate ao desemprego,0,5,5,Péssimo,7,Ruim,7,0,0,1,2,2,4,2,7,7,1,1,1,1,Seguro(a),137,Seguro(a),5,Parda,Católica,4,3,Desemprego/combate ao desemprego,5,2,2,NA,2,0,0,1,1,1,1,0,0,0,2,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,1,0,Não deveriam ter o direito de disputar a reeleição,3,Mais ou menos surpreso(a),1,1,0,0,0
906,Custódia,2605103,260510305000013,(2) Gestão Financeira,0,REJEIÇÃO,33,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,Partido Amarelo,Falta de água,0,6,4,Ruim,7,Ruim,7,0,0,1,5,6,4,2,7,7,1,1,1,1,Seguro(a),185,Seguro(a),4,Branca,Católica,9,3,Falta de água,4,5,6,NA,2,0,1,1,0,0,0,0,0,0,2,Gestão Financ.,1,3,Desemprego/combate ao desemprego,1,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
907,Custódia,2605103,260510305000013,(1) Controle,0,REJEIÇÃO,58,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,0,NA,Falta de água,0,7,4,Ruim,7,Ruim,7,0,0,0,1,1,2,1,7,7,4,3,4,1,Seguro(a),185,Seguro(a),2,Parda,Católica,3,3,Falta de água,4,NA,1,2,1,0,0,1,1,1,0,0,0,0,7,Educação,1,3,Segurança/violência/criminalidade,1,0,Não deveriam ter o direito de disputar a reeleição,4,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
908,Custódia,2605103,260510305000013,(2) Gestão Financeira,0,REJEIÇÃO,20,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Má administração,0,6,5,Péssimo,7,Péssimo,7,0,0,0,2,3,3,1,7,7,4,1,4,1,Inseguro(a),93,Seguro(a),12,Amarela,Católica,3,3,Má administração,5,2,3,3,1,0,1,1,0,0,1,0,0,0,5,Gestão Financ.,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1
909,Custódia,2605103,260510305000013,(3) Educação,0,REJEIÇÃO,38,Interessado(a),1,1,0,Sim,Marina Silva,1,PSDB,Falta de água,0,1,5,Péssimo,7,Péssimo,7,1,0,1,7,7,7,1,7,7,1,3,2,1,Seguro(a),185,Seguro(a),4,Parda,Católica,6,4,Falta de água,5,7,7,7,1,1,0,1,0,0,0,1,0,0,5,Educação,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
910,Custódia,2605103,260510305000013,(3) Educação,0,REJEIÇÃO,60,Pouco interessado(a),0,1,0,Não,Dilma Rousseff,1,PSDB,Falta de água,0,7,2,Bom,7,Bom,7,0,0,0,6,2,2,4,7,7,3,3,2,1,Inseguro(a),93,Seguro(a),5,Parda,Católica,4,4,Falta de água,2,6,2,2,4,1,0,1,0,1,0,1,0,0,5,Educação,1,3,Saúde/hospitais/postos de saúde,2,1,Não deveriam ter o direito de disputar a reeleição,1,Mais ou menos surpreso(a),0,1,0,1,0
911,Custódia,2605103,260510305000013,(3) Educação,0,REJEIÇÃO,49,Nada interessado(a),1,0,0,Sim,Dilma Rousseff,1,PSDB,Desemprego/combate ao desemprego,1,7,5,Péssimo,7,Péssimo,7,0,0,1,1,2,1,1,7,7,4,1,4,1,Seguro(a),97,Inseguro(a),5,Preta,Católica,3,4,Desemprego/combate ao desemprego,5,NA,2,1,1,1,0,1,0,1,1,0,1,0,5,Educação,1,3,Desemprego/combate ao desemprego,1,0,Não deveriam ter o direito de disputar a reeleição,4,Pouco surpreso(a),1,1,0,0,0
912,Custódia,2605103,260510305000013,(3) Educação,0,REJEIÇÃO,50,Interessado(a),1,1,0,Sim,Dilma Rousseff,1,PSDB,Saúde/hospitais/postos de saúde,1,7,5,Péssimo,7,Péssimo,7,0,0,1,1,7,4,1,7,7,1,1,4,1,Seguro(a),185,Inseguro(a),0,Parda,Católica,4,4,Saúde/hospitais/postos de saúde,5,NA,7,4,1,1,0,1,0,0,0,0,0,0,5,Educação,1,3,Segurança/violência/criminalidade,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
913,Custódia,2605103,260510305000015,(2) Gestão Financeira,0,REJEIÇÃO,49,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saneamento básico (água e esgoto),1,7,1,Bom,4,Bom,5,1,1,0,1,5,5,7,7,6,1,1,2,0,Seguro(a),47,Seguro(a),11,Parda,Católica,3,3,Saneamento básico (água e esgoto),1,1,NA,NA,7,0,1,1,0,1,0,0,0,0,3,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,4,1,Não deveriam ter o direito de disputar a reeleição,1,Mais ou menos surpreso(a),1,1,1,1,0
914,Custódia,2605103,260510305000015,(3) Educação,0,REJEIÇÃO,28,Nada interessado(a),1,0,1,Não,Dilma Rousseff,0,NA,Calçamento/asfaltamento/buracos,0,5,5,Ruim,4,Regular,4,0,0,0,4,5,4,2,6,7,1,3,1,1,Seguro(a),45,Seguro(a),7,Parda,Católica,1,3,Calçamento/asfaltamento/buracos,5,4,5,4,2,1,0,1,0,0,0,0,0,0,4,Educação,1,3,Educação/escolas/creches,2,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
915,Custódia,2605103,260510305000015,(1) Controle,0,REJEIÇÃO,36,Interessado(a),1,0,0,Sim,Dilma Rousseff,1,PT,Saneamento básico (água e esgoto),0,7,3,Bom,6,Regular,4,1,1,0,4,6,6,4,6,6,2,3,2,0,Seguro(a),110,Seguro(a),12,Parda,Católica,4,3,Saneamento básico (água e esgoto),3,4,6,6,4,0,0,1,1,1,0,1,0,0,5,Educação,1,3,NA,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,1,1,0,1,0
916,Custódia,2605103,260510305000015,(2) Gestão Financeira,0,REJEIÇÃO,35,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Falta de água,0,7,5,Ruim,6,Regular,4,0,0,1,2,3,3,2,5,6,1,1,1,1,Inseguro(a),93,Seguro(a),6,Parda,Evangélica Pentecostal,3,3,Falta de água,5,2,3,3,2,0,1,1,0,1,0,1,0,0,2,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,NA,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
917,Custódia,2605103,260510305000015,(1) Controle,0,REJEIÇÃO,44,Pouco interessado(a),0,1,0,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,6,5,Péssimo,5,Péssimo,5,1,0,1,5,5,5,3,6,6,4,2,2,1,Muito seguro(a),112,Seguro(a),7,Parda,Católica,3,3,Saúde/hospitais/postos de saúde,5,5,5,5,3,0,0,1,1,0,1,0,0,0,4,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,4,0,Não deveriam ter o direito de disputar a reeleição,3,Muito surpreso(a),1,1,1,0,0
918,Custódia,2605103,260510305000015,(3) Educação,0,REJEIÇÃO,31,Interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Calçamento/asfaltamento/buracos,0,5,3,Regular,6,Bom,6,1,1,0,7,5,5,1,5,5,1,3,1,0,Inseguro(a),101,Seguro(a),12,Parda,Católica,3,4,Calçamento/asfaltamento/buracos,3,7,5,5,1,1,0,1,0,0,0,1,1,0,4,Educação,1,3,Má administração,4,1,Sim deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
919,Custódia,2605103,260510305000015,(2) Gestão Financeira,0,REJEIÇÃO,20,Pouco interessado(a),0,1,0,Sim,Dilma Rousseff,0,NA,Saneamento básico (água e esgoto),0,5,3,Bom,5,Regular,5,1,0,0,1,7,6,1,7,7,1,1,1,0,Seguro(a),110,Seguro(a),8,Parda,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)",3,3,Saneamento básico (água e esgoto),3,1,7,6,1,0,1,1,0,0,0,0,1,0,2,Gestão Financ.,1,3,Má administração,2,1,Sim deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
920,Custódia,2605103,260510305000015,(2) Gestão Financeira,0,REJEIÇÃO,51,Pouco interessado(a),0,1,1,Não,Dilma Rousseff,1,Partido Amarelo,Saneamento básico (água e esgoto),0,1,5,Regular,5,Regular,4,1,0,0,3,3,3,1,6,6,4,2,1,1,Seguro(a),114,Seguro(a),12,Branca,Católica,4,3,Saneamento básico (água e esgoto),5,3,3,3,1,0,1,1,0,0,0,1,0,0,3,Gestão Financ.,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
921,Custódia,2605103,260510305000015,(2) Gestão Financeira,0,REJEIÇÃO,37,Muito interessado(a),0,1,1,Sim,Aécio Neves,1,PSB,Saúde/hospitais/postos de saúde,0,1,5,Péssimo,6,Regular,6,1,1,0,1,1,2,1,7,7,2,1,1,1,Muito seguro(a),152,Seguro(a),12,Branca,Evangélica Pentecostal,4,4,Saúde/hospitais/postos de saúde,5,1,1,2,1,0,1,1,0,0,0,0,1,0,2,Gestão Financ.,1,3,Má administração,NA,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,1,1,0,1,0
922,Custódia,2605103,260510305000015,(1) Controle,0,REJEIÇÃO,49,Pouco interessado(a),1,0,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,4,5,Regular,6,Regular,6,1,0,0,4,4,5,4,6,7,1,1,1,1,Muito seguro(a),112,Inseguro(a),5,Branca,Católica,3,3,Saúde/hospitais/postos de saúde,5,4,4,5,4,0,0,1,1,1,0,1,0,0,2,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,2,1,Não deveriam ter o direito de disputar a reeleição,1,Mais ou menos surpreso(a),1,1,0,1,0
923,Custódia,2605103,260510305000015,(1) Controle,0,REJEIÇÃO,56,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,1,Partido Amarelo,Falta de água,0,1,5,Ruim,6,Regular,6,0,0,0,3,3,3,1,6,6,1,1,1,1,Muito seguro(a),125,Seguro(a),0,Parda,Católica,2,3,Falta de água,5,3,3,3,1,0,0,1,1,0,0,0,0,0,2,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,2,0,Sim deveriam ter o direito de disputar a reeleição,3,Pouco surpreso(a),0,1,0,0,0
924,Custódia,2605103,260510305000015,(3) Educação,0,REJEIÇÃO,22,Interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Falta de água,0,7,1,Ótimo,7,Ótimo,7,1,0,0,1,4,4,6,7,7,1,1,1,0,Seguro(a),77,Seguro(a),16,Branca,Evangélica Pentecostal,5,3,Falta de água,1,1,4,4,6,1,0,1,0,0,1,0,0,0,2,Educação,1,1,Má administração,5,1,NA,1,Muito surpreso(a),0,1,1,1,0
925,Custódia,2605103,260510305000015,(3) Educação,0,REJEIÇÃO,55,Interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,1,7,1,Ótimo,7,Ótimo,7,0,0,0,2,2,5,7,6,6,1,1,1,0,Muito seguro(a),97,Seguro(a),7,Parda,Evangélica Pentecostal,3,3,Saúde/hospitais/postos de saúde,1,2,2,5,7,1,0,1,0,1,0,0,1,0,2,Educação,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
926,Custódia,2605103,260510305000015,(3) Educação,0,REJEIÇÃO,55,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,Partido Amarelo,Saúde/hospitais/postos de saúde,0,1,5,Bom,7,Péssimo,7,1,0,0,4,4,6,1,6,6,1,1,1,1,Seguro(a),97,Seguro(a),3,Amarela,Católica,3,3,Saúde/hospitais/postos de saúde,5,4,4,6,1,1,0,1,0,1,0,0,0,0,2,Educação,1,3,Educação/escolas/creches,2,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,1,1,0,1,0
927,Custódia,2605103,260510305000015,(1) Controle,0,REJEIÇÃO,21,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,1,7,5,Bom,7,Ruim,6,1,0,0,1,2,4,2,7,7,4,3,1,1,Seguro(a),93,Seguro(a),12,Branca,Católica,3,3,Saúde/hospitais/postos de saúde,5,1,2,4,2,0,0,1,1,1,1,0,1,0,4,Educação,1,3,Saúde/hospitais/postos de saúde,2,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
928,Custódia,2605103,260510305000015,(2) Gestão Financeira,0,REJEIÇÃO,20,Pouco interessado(a),1,0,1,Sim,Dilma Rousseff,1,Partido Amarelo,Falta de água,0,4,5,Regular,7,Péssimo,7,0,0,0,5,5,6,3,6,6,2,1,2,1,Muito seguro(a),115,Seguro(a),11,Branca,Católica,4,3,Falta de água,5,5,5,6,3,0,1,1,0,1,0,0,1,0,3,Gestão Financ.,1,3,Desemprego/combate ao desemprego,2,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),0,1,0,1,0
929,Custódia,2605103,260510305000031,(2) Gestão Financeira,0,REJEIÇÃO,39,Muito interessado(a),1,0,1,Não,Dilma Rousseff,1,PSB,Saúde/hospitais/postos de saúde,0,1,4,Ruim,6,Ruim,6,1,0,0,1,5,5,1,7,7,4,4,1,1,Muito seguro(a),185,Seguro(a),12,Branca,Evangélica Pentecostal,6,3,Saúde/hospitais/postos de saúde,4,1,5,5,1,0,1,1,0,1,1,0,0,0,5,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,2,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
930,Custódia,2605103,260510305000031,(1) Controle,0,REJEIÇÃO,36,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,5,Péssimo,7,Péssimo,7,1,0,1,1,1,5,1,6,6,2,1,1,1,Seguro(a),93,Inseguro(a),7,Branca,Católica,5,3,Saúde/hospitais/postos de saúde,5,1,1,5,1,0,0,1,1,0,1,0,1,0,2,Educação,1,3,Calçamento/asfaltamento/buracos,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,1,1,0,1,0
931,Custódia,2605103,260510305000031,(1) Controle,0,REJEIÇÃO,23,Pouco interessado(a),1,0,0,Não,Dilma Rousseff,1,PT,Desemprego/combate ao desemprego,0,7,1,Bom,7,Bom,7,1,0,0,3,3,5,7,7,7,1,1,1,0,Muito seguro(a),102,Seguro(a),12,Parda,Evangélica Pentecostal,3,4,Desemprego/combate ao desemprego,1,3,3,5,7,0,0,1,1,1,0,0,1,0,2,Educação,0,1,Educação/escolas/creches,5,1,Não deveriam ter o direito de disputar a reeleição,1,Muito surpreso(a),1,0,0,1,0
932,Custódia,2605103,260510305000031,(2) Gestão Financeira,0,REJEIÇÃO,44,Muito interessado(a),1,1,0,Sim,Aécio Neves,1,PSD,Saúde/hospitais/postos de saúde,0,1,5,Péssimo,6,Péssimo,6,1,1,0,3,7,7,1,7,7,1,1,1,1,Muito seguro(a),93,Seguro(a),16,Branca,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)",3,3,Saúde/hospitais/postos de saúde,5,3,7,7,1,0,1,1,0,0,1,0,1,0,2,Gestão Financ.,1,3,Falta de água,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,1,1,0,1,0
933,Custódia,2605103,260510305000031,(3) Educação,0,REJEIÇÃO,51,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,5,Péssimo,7,Regular,7,1,1,0,2,2,5,1,7,7,1,1,1,1,Muito seguro(a),185,Muito seguro(a),12,Parda,Católica,7,4,Saúde/hospitais/postos de saúde,5,2,2,5,1,1,0,1,0,1,0,1,1,0,2,Educação,1,3,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,1,Pouco surpreso(a),1,1,0,1,0
934,Custódia,2605103,260510305000031,(1) Controle,0,REJEIÇÃO,31,Muito interessado(a),1,1,1,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,7,1,Ótimo,6,Ótimo,6,1,1,0,1,1,1,7,7,7,1,2,1,0,Seguro(a),93,Seguro(a),12,Amarela,Católica,3,3,NA,1,1,1,1,7,0,0,1,1,1,0,0,0,0,3,Gestão Financ.,1,1,Desemprego/combate ao desemprego,5,1,Sim deveriam ter o direito de disputar a reeleição,1,Muito surpreso(a),1,1,1,1,0
